Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion
Focused,0.1,tcga,0,,-3.96728813559322,11.246478524232085,
Focused,0.1,tcga,1,,-3.96728813559322,11.246478524232085,
Focused,0.1,tcga,2,,-3.9800000000000004,7.378757723451981,
Focused,0.1,tcga,3,,-3.9800000000000004,7.378757723451981,
Focused,0.1,tcga,4,,-3.9800000000000004,8.483294007296587,
Focused,0.1,tcga,5,,-3.9800000000000004,8.483294007296587,
Focused,0.1,tcga,6,,-3.9800000000000004,8.83514256748274,
Focused,0.1,tcga,7,,-3.9800000000000004,8.83514256748274,
Focused,0.1,tcga,8,,-3.9800000000000004,12.269632928733671,
Focused,0.1,tcga,9,,-3.9800000000000004,12.269632928733671,
Focused,0.1,tcga,10,,-3.9800000000000004,12.431759466991167,
Focused,0.1,tcga,11,,-3.9800000000000004,12.431759466991167,
Focused,0.1,tcga,12,,-3.9800000000000004,16.75158094183221,
Focused,0.1,tcga,13,,-3.9800000000000004,16.75158094183221,
Focused,0.1,tcga,14,,-3.9800000000000004,23.652491045265666,
Focused,0.1,tcga,15,,-3.9800000000000004,23.652491045265666,
Focused,0.1,tcga,16,,-3.9800000000000004,11.786496466095015,
Focused,0.1,tcga,17,,-3.9800000000000004,11.786496466095015,
Focused,0.1,tcga,18,,-3.9800000000000004,13.122977555813318,
Focused,0.1,tcga,19,,-3.9800000000000004,13.122977555813318,
Focused,0.1,tcga,20,,-3.9800000000000004,11.099443021025568,
Focused,0.1,tcga,21,,-3.9800000000000004,11.099443021025568,
Focused,0.1,tcga,22,,-3.9800000000000004,13.008972019479966,
Focused,0.1,tcga,23,,-3.9800000000000004,13.008972019479966,
Focused,0.1,tcga,24,,-3.9800000000000004,14.099854071806394,
Focused,0.1,support,0,,0.0657627118644067,6.158653545706711,
Focused,0.1,support,1,,0.0606779661016949,5.974524103322302,
Focused,0.1,support,2,,0.0632203389830508,6.155559097957794,
Focused,0.1,support,3,,0.0632203389830508,6.254034685370289,
Focused,0.1,support,4,,0.0657627118644067,6.233129636378996,
Focused,0.1,support,5,,0.0632203389830508,6.062971261152024,
Focused,0.1,support,6,,0.0657627118644067,6.020435681086076,
Focused,0.1,support,7,,0.0657627118644067,6.321933032621421,
Focused,0.1,support,8,,0.0632203389830508,6.071761224340273,
Focused,0.1,support,9,,0.0632203389830508,6.166167931350906,
Focused,0.1,support,10,,0.0657627118644067,5.915182970107208,
