Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion,s_tau
Focused,0.1,1,0,0.9333333333333333,0.07406779661016949,0.19737441064103284,,
Focused,0.1,1,1,0.9616666666666667,0.05983050847457627,0.15649214753795346,,
Focused,0.1,1,2,0.955,0.05983050847457627,0.1604019443912821,,
Focused,0.1,1,3,0.9466666666666667,0.06457627118644067,0.17250346669192404,,
Focused,0.1,1,4,0.9683333333333334,0.05508474576271186,0.14489453972900138,,
Focused,0.1,1,5,0.9583333333333334,0.05983050847457627,0.15619412090471874,,
Focused,0.1,1,6,0.935,0.07406779661016949,0.20128558128227156,,
Focused,0.1,1,7,0.935,0.06932203389830507,0.1824865632223913,,
Focused,0.1,1,8,0.9633333333333334,0.05983050847457627,0.1591589065326353,,
Focused,0.1,1,9,0.9483333333333334,0.06220338983050847,0.1647874826218098,,
Focused,0.1,1,10,0.965,0.05508474576271186,0.14559390185123802,,
Focused,0.1,1,11,0.93,0.07406779661016949,0.1944592886353363,,
Focused,0.1,1,12,0.9416666666666667,0.06694915254237288,0.17713015210900954,,
Focused,0.1,1,13,0.9283333333333333,0.07406779661016949,0.1963425274255284,,
Focused,0.1,1,14,0.9583333333333334,0.05983050847457627,0.1573210254107915,,
Focused,0.1,1,15,0.9566666666666667,0.05983050847457627,0.1553997548212564,,
Focused,0.1,1,16,0.935,0.07406779661016949,0.19927401110285886,,
Focused,0.1,1,17,0.9583333333333334,0.05983050847457627,0.15831665822641974,,
Focused,0.1,1,18,0.9316666666666666,0.07406779661016949,0.19703757516031076,,
Focused,0.1,1,19,0.9633333333333334,0.05745762711864407,0.15244894366737366,,
Focused,0.1,1,20,0.9466666666666667,0.06457627118644067,0.17286923815516883,,
Focused,0.1,1,21,0.9066666666666666,0.08355932203389829,0.227669669214112,,
Focused,0.1,1,22,0.9316666666666666,0.07406779661016949,0.19989710861831522,,
Focused,0.1,1,23,0.9433333333333334,0.06694915254237288,0.17731674356430943,,
Focused,0.1,1,24,0.945,0.06694915254237288,0.17806096361607102,,
Focused,0.1,2,0,0.9433333333333334,0.06457627118644067,0.3487487946345551,,
