Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion,s_tau
Focused,0.1,1,0,0.9375,0.05983050847457627,0.15923829032803627,,
Focused,0.1,1,1,0.9475,0.06694915254237288,0.17729869096639575,,
Focused,0.1,1,2,0.9325,0.06220338983050847,0.15774560120260195,,
Focused,0.1,1,3,0.9525,0.05745762711864407,0.13571735078991595,,
Focused,0.1,1,4,0.945,0.05508474576271186,0.15211511948917308,,
Focused,0.1,1,5,0.92,0.0811864406779661,0.2123324076561678,,
Focused,0.1,1,6,0.9325,0.07881355932203389,0.17677663377056407,,
Focused,0.1,1,7,0.9325,0.06694915254237288,0.15959871855633206,,
Focused,0.1,1,8,0.9275,0.06457627118644067,0.1577354656156907,,
Focused,0.1,1,9,0.95,0.05745762711864407,0.15941216078641665,,
Focused,0.1,1,10,0.945,0.05271186440677966,0.14053399352182208,,
Focused,0.1,1,11,0.92,0.06694915254237288,0.1633773404758756,,
Focused,0.1,1,12,0.9475,0.05508474576271186,0.143440340865194,,
Focused,0.1,1,13,0.94,0.06220338983050847,0.14238371781418926,,
Focused,0.1,1,14,0.9625,0.06694915254237288,0.17338572782029607,,
Focused,0.1,1,15,0.95,0.06694915254237288,0.16466056317629568,,
Focused,0.1,1,16,0.9275,0.05745762711864407,0.14886694641600084,,
Focused,0.1,1,17,0.9075,0.0811864406779661,0.1814858375500341,,
Focused,0.1,1,18,0.9425,0.06220338983050847,0.16054653433640198,,
Focused,0.1,1,19,0.9125,0.06220338983050847,0.1680593506255213,,
Focused,0.1,1,20,0.925,0.06220338983050847,0.1655292531496668,,
Focused,0.1,1,21,0.9275,0.06932203389830507,0.18895365530275676,,
Focused,0.1,1,22,0.94,0.05271186440677966,0.13842139122286048,,
Focused,0.1,1,23,0.93,0.05508474576271186,0.15811087473564267,,
Focused,0.1,1,24,0.9525,0.05508474576271186,0.13983522078931643,,
Focused,0.1,2,0,0.9325,0.040847457627118645,0.2090254783630568,,
Focused,0.1,2,1,0.945,0.047966101694915254,0.25071977047607513,,
Focused,0.1,2,2,0.95,0.05983050847457627,0.315722028029746,,
Focused,0.1,2,3,0.9475,0.05745762711864407,0.307296705395111,,
Focused,0.1,2,4,0.9475,0.03847457627118644,0.23198057807585243,,
Focused,0.1,2,5,0.9425,0.06220338983050847,0.3247522219178599,,
Focused,0.1,2,6,0.955,0.050338983050847455,0.24950564091003585,,
Focused,0.1,2,7,0.96,0.05271186440677966,0.2618501727142549,,
Focused,0.1,2,8,0.9775,0.047966101694915254,0.25286325388178815,,
Focused,0.1,2,9,0.9525,0.05508474576271186,0.24838590315943407,,
Focused,0.1,2,10,0.9475,0.05745762711864407,0.27346538830065603,,
Focused,0.1,2,11,0.95,0.05508474576271186,0.28958616945473487,,
Focused,0.1,2,12,0.9625,0.047966101694915254,0.26966175114552976,,
Focused,0.1,2,13,0.9575,0.040847457627118645,0.19671792560488532,,
Focused,0.1,2,14,0.9475,0.07406779661016949,0.37060982213851473,,
Focused,0.1,2,15,0.95,0.06694915254237288,0.3820840211670767,,
Focused,0.1,2,16,0.9775,0.03610169491525424,0.17323363931157637,,
Focused,0.1,2,17,0.945,0.050338983050847455,0.2903453076456607,,
Focused,0.1,2,18,0.9375,0.05271186440677966,0.3140426167262922,,
Focused,0.1,2,19,0.95,0.05983050847457627,0.2663978454343986,,
Focused,0.1,2,20,0.9575,0.05745762711864407,0.3104101894070649,,
Focused,0.1,2,21,0.9525,0.047966101694915254,0.24373689715527364,,
Focused,0.1,2,22,0.96,0.047966101694915254,0.25202349090270865,,
Focused,0.1,2,23,0.97,0.040847457627118645,0.21612476065744782,,
Focused,0.1,2,24,0.9625,0.06220338983050847,0.32881769622357815,,
Focused,0.1,3,0,0.9625,0.05271186440677966,0.16642564697958728,,
Focused,0.1,3,1,0.945,0.05745762711864407,0.21463436424714843,,
Focused,0.1,3,2,0.94,0.06457627118644067,0.1754842476031713,,
Focused,0.1,3,3,0.945,0.047966101694915254,0.16843596369761835,,
Focused,0.1,3,4,0.8975,0.0811864406779661,0.2470933387306261,,
Focused,0.1,3,5,0.9625,0.047966101694915254,0.1380797004116443,,
Focused,0.1,3,6,0.9425,0.05508474576271186,0.17921416166524715,,
Focused,0.1,3,7,0.9475,0.05745762711864407,0.1634483036096982,,
Focused,0.1,3,8,0.9375,0.07881355932203389,0.23571228029202046,,
Focused,0.1,3,9,0.9575,0.05983050847457627,0.18039815488810454,,
Focused,0.1,3,10,0.9275,0.06932203389830507,0.23337545495843875,,
