Method,Target Alpha,Setting,Run,Coverage,A_hat,LPB,Include Proportion
Focused,0.1,1,0,0.975,0.02440677966101695,0.4542869645029713,
Focused,0.1,1,1,0.975,0.02,0.37582020275642364,
Focused,0.1,1,2,0.975,0.02440677966101695,0.4542284831730561,
Focused,0.1,1,3,0.975,0.02440677966101695,0.45432548328270755,
Focused,0.1,1,4,0.975,0.02440677966101695,0.45413858416362657,
Focused,0.1,1,5,0.975,0.02440677966101695,0.45423205756994606,
Focused,0.1,1,6,0.975,0.02440677966101695,0.45428353083179174,
Focused,0.1,1,7,0.975,0.02440677966101695,0.454482487173721,
Focused,0.1,1,8,0.975,0.02440677966101695,0.45426996768310035,
Focused,0.1,1,9,0.975,0.026610169491525424,0.48223949003545996,
Focused,0.1,1,10,0.975,0.026610169491525424,0.48153345806976333,
Focused,0.1,1,11,0.975,0.02440677966101695,0.45417459835153307,
Focused,0.1,1,12,0.975,0.02440677966101695,0.4538597164144332,
Focused,0.1,1,13,0.975,0.02440677966101695,0.4543445982165604,
Focused,0.1,1,14,0.975,0.02440677966101695,0.45435369811815546,
Focused,0.1,1,15,0.975,0.02440677966101695,0.4534200534604694,
Focused,0.1,1,16,0.975,0.026610169491525424,0.480998240381474,
Focused,0.1,1,17,0.975,0.02440677966101695,0.4544491038504283,
Focused,0.1,1,18,0.97,0.0288135593220339,0.5052936514359466,
Focused,0.1,1,19,0.975,0.02440677966101695,0.4541955140383799,
Focused,0.1,2,0,0.935,0.048644067796610166,0.09566141450729518,
Focused,0.1,2,1,0.93,0.04423728813559322,0.09492549161580424,
Focused,0.1,2,2,0.935,0.04423728813559322,0.09397856832465035,
Focused,0.1,2,3,0.945,0.0464406779661017,0.08884723385992967,
Focused,0.1,2,4,0.93,0.04423728813559322,0.10176693635484327,
Focused,0.1,2,5,0.94,0.048644067796610166,0.09374639812248983,
Focused,0.1,2,6,0.93,0.04423728813559322,0.0958794281248236,
Focused,0.1,2,7,0.94,0.04423728813559322,0.09330246870492202,
Focused,0.1,2,8,0.93,0.04423728813559322,0.09555907654374429,
Focused,0.1,2,9,0.93,0.04423728813559322,0.09478843045203057,
Focused,0.1,2,10,0.935,0.04423728813559322,0.09402693857643529,
Focused,0.1,2,11,0.935,0.04423728813559322,0.09491536728070683,
Focused,0.1,2,12,0.935,0.04423728813559322,0.09505990471550119,
Focused,0.1,2,13,0.935,0.04423728813559322,0.09487465298069767,
Focused,0.1,2,14,0.94,0.04423728813559322,0.09173363138084487,
Focused,0.1,2,15,0.935,0.04423728813559322,0.09363202962439861,
Focused,0.1,2,16,0.93,0.04423728813559322,0.09495808852402131,
Focused,0.1,2,17,0.93,0.04423728813559322,0.09607439225427969,
Focused,0.1,2,18,0.935,0.04423728813559322,0.0948543266877299,
Focused,0.1,2,19,0.945,0.0464406779661017,0.088524732749401,
Focused,0.1,3,0,0.895,0.07288135593220339,0.20898308200751856,
